full_date,year,month,quarter,warehouse_name,city,region,product_name,category,units_sold,revenue,co2_kg,energy_kwh,waste_kg
2025-10-02,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,69,9014.16,45.4786,95.618,6.66
2025-10-02,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,85,10647.1,26.2199,77.3,19.18
2025-10-02,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,102,9049.44,3.6002,77.3,4.07
2025-10-02,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,147,3395.7,20.6753,77.3,7.44
2025-10-02,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,106,1741.58,0.0,77.3,0.0
2025-10-02,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,168,22409.52,176.4144,77.3,18.01
2025-10-03,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,118,10794.64,11.2212,36.172,10.77
2025-10-03,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,129,10541.88,15.275,36.172,18.73
2025-10-03,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,38,1032.08,26.1581,36.172,12.55
2025-10-03,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,50,5992.5,1.6327,36.172,4.97
2025-10-03,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,108,6515.64,178.7,36.172,18.35
2025-10-03,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,112,6438.88,19.8113,109.346,15.01
2025-10-03,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,33,3781.47,12.5432,109.346,15.53
2025-10-03,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,77,8725.64,38.0157,109.346,15.08
2025-10-03,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,119,16086.42,4.3759,109.346,17.16
2025-10-03,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,45,3549.6,23.5648,109.346,2.36
2025-10-03,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,174,12446.22,11.7074,87.246,8.39
2025-10-03,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,200,17280.0,7.5865,87.246,8.21
2025-10-03,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,90,3224.7,30.723,87.246,12.47
2025-10-03,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,137,8544.69,4.565,87.246,12.99
2025-10-03,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,77,1944.25,59.6238,87.246,6.61
2025-10-03,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,112,4907.84,17.1968,32.268,13.75
2025-10-03,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,155,20470.85,9.2787,32.268,10.45
2025-10-03,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,24,917.04,33.9417,32.268,15.02
2025-10-03,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,18,2191.14,4.5851,32.268,16.3
2025-10-03,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,64,8793.6,111.4286,32.268,11.0
2025-10-04,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,14,297.08,11.6198,56.876,8.69
2025-10-04,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,88,3495.36,2.4297,56.876,3.35
2025-10-04,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,145,20036.1,44.4099,56.876,19.46
2025-10-04,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,163,8476.0,0.0,56.876,0.0
2025-10-04,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,102,13505.82,97.3324,56.876,14.09
2025-10-04,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,139,12968.7,4.1402,46.122,4.17
2025-10-04,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,51,4243.71,4.6486,46.122,6.75
2025-10-04,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,37,4855.51,29.5956,46.122,10.57
2025-10-04,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,86,10925.44,1.8433,46.122,5.8
2025-10-04,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,49,2901.78,78.2237,46.122,9.38
2025-10-04,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,194,25608.0,19.6192,74.254,16.04
2025-10-04,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,55,4323.55,11.8313,74.254,16.65
2025-10-04,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,85,5783.4,29.3773,74.254,10.93
2025-10-04,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,126,689.22,2.1043,74.254,6.34
2025-10-04,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,77,11235.84,68.9998,74.254,9.02
2025-10-04,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,39,4050.15,21.7035,145.282,18.22
2025-10-04,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,174,9453.42,9.4444,145.282,10.7
2025-10-04,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,151,19601.31,28.551,145.282,11.02
2025-10-04,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,12,1243.68,5.1456,145.282,17.61
2025-10-04,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,147,16740.36,53.3097,145.282,6.5
2025-10-05,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,11,168.19,13.2433,74.194,11.08
2025-10-05,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,27,3679.83,11.9458,74.194,17.28
2025-10-05,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,15,1354.5,29.916,74.194,14.8
2025-10-05,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,68,6141.76,1.3191,74.194,5.39
2025-10-05,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,171,2315.34,57.1532,74.194,6.81
2025-10-05,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,122,16523.68,15.1389,125.904,15.31
2025-10-05,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,67,956.76,9.6392,125.904,11.39
2025-10-05,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,89,5593.65,29.9975,125.904,13.92
2025-10-05,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,181,17960.63,3.3037,125.904,10.25
2025-10-05,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,125,2818.75,78.5298,125.904,10.96
2025-10-05,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,118,17089.94,19.2668,113.54,13.5
2025-10-05,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,186,6355.62,4.9781,113.54,5.24
2025-10-05,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,150,4341.0,40.3475,113.54,14.7
2025-10-05,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,145,19067.5,2.7255,113.54,9.88
2025-10-05,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,148,16947.48,7.5057,113.54,0.79
2025-10-05,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,134,16524.88,21.0442,41.158,19.51
2025-10-05,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,42,4227.72,7.666,41.158,8.09
2025-10-05,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,71,9394.01,11.6986,41.158,4.04
2025-10-05,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,30,522.6,0.2677,41.158,0.75
2025-10-05,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,146,16943.3,105.6529,41.158,14.84
2025-10-06,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,29,2008.25,19.0954,92.354,15.44
2025-10-06,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,176,26382.4,8.7932,92.354,10.34
2025-10-06,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,45,2977.65,17.5669,92.354,8.01
2025-10-06,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,81,5838.48,5.8271,92.354,18.98
2025-10-06,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,150,2880.0,63.1694,92.354,8.83
2025-10-06,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,113,12496.67,22.1707,139.552,16.53
2025-10-06,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,58,4800.08,3.7974,139.552,4.71
2025-10-06,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,23,2360.72,38.9185,139.552,13.29
2025-10-06,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,175,3372.25,3.6717,139.552,12.96
2025-10-06,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,37,1519.22,100.5894,139.552,10.82
2025-10-06,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,34,3418.7,4.1352,52.99,4.24
2025-10-06,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,129,16803.54,0.0,52.99,0.0
2025-10-06,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,72,8551.44,14.2126,52.99,6.78
2025-10-06,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,114,3717.54,4.9124,52.99,18.79
2025-10-06,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,100,6642.0,89.6611,52.99,10.05
2025-10-06,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,134,4832.04,9.5585,116.19,7.6
2025-10-06,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,156,13813.8,10.6362,116.19,15.43
2025-10-06,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,94,1435.38,41.8857,116.19,16.48
2025-10-06,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,70,3176.6,3.4018,116.19,10.37
2025-10-06,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,43,4725.27,185.5611,116.19,19.36
2025-10-07,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,57,851.58,16.248,115.638,12.86
2025-10-07,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,70,4448.5,2.9859,115.638,3.49
2025-10-07,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,145,4035.35,42.9898,115.638,17.66
2025-10-07,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,140,2326.8,5.1173,115.638,15.52
2025-10-07,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,27,2778.57,58.6903,115.638,6.73
2025-10-07,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,148,2048.32,13.9431,46.982,10.02
2025-10-07,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,159,11786.67,7.0637,46.982,7.94
2025-10-07,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,85,3108.45,12.6517,46.982,5.5
2025-10-07,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,24,2135.52,1.1815,46.982,4.74
2025-10-07,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,90,1196.1,21.2015,46.982,2.36
2025-10-07,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,188,27036.28,25.6042,152.868,18.9
2025-10-07,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,134,3678.3,2.5658,152.868,3.54
2025-10-07,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,109,4736.05,25.5753,152.868,0.82
2025-10-07,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,126,5841.36,5.2358,152.868,19.7
2025-10-07,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,152,15347.44,101.6867,152.868,11.63
2025-10-07,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,134,10023.2,7.3245,40.642,6.81
2025-10-07,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,52,3117.4,12.302,40.642,19.22
2025-10-07,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,13,1891.5,54.2765,40.642,18.7
2025-10-07,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,70,2038.4,4.9125,40.642,16.97
2025-10-07,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,112,15215.2,104.7935,40.642,11.23
2025-10-08,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,122,15358.58,11.6598,92.756,10.77
2025-10-08,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,177,14460.9,1.5324,92.756,1.8
2025-10-08,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,27,3577.23,38.5633,92.756,15.13
2025-10-08,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,104,4817.28,4.4987,92.756,14.05
2025-10-08,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,190,9283.4,108.7308,92.756,14.08
2025-10-08,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,35,546.7,12.9995,97.89,12.61
2025-10-08,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,43,6033.76,6.1113,97.89,6.97
2025-10-08,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,28,177.8,41.3642,97.89,18.52
2025-10-08,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,169,25312.82,3.6819,97.89,14.71
2025-10-08,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,64,5014.4,68.5534,97.89,7.19
2025-10-08,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,111,2661.78,9.7184,121.794,8.56
2025-10-08,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,90,12573.9,14.8167,121.794,16.52
2025-10-08,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,62,6330.82,50.3335,121.794,19.94
2025-10-08,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,90,3564.9,2.8641,121.794,8.89
2025-10-08,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,175,8487.5,125.0566,121.794,13.28
2025-10-08,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,30,1973.7,18.3834,40.702,15.03
2025-10-08,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,90,12647.7,3.3419,40.702,4.36
2025-10-08,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,155,6308.5,39.0924,40.702,15.18
2025-10-08,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,162,1743.12,4.0804,40.702,15.83
2025-10-08,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,159,13826.64,82.2797,40.702,8.97
2025-10-09,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,38,604.58,5.5746,34.788,4.09
2025-10-09,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,149,1522.78,13.5803,34.788,15.04
2025-10-09,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,123,10453.77,50.498,34.788,18.23
2025-10-09,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,119,10273.27,0.8883,34.788,3.58
2025-10-09,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,186,25309.02,67.8237,34.788,6.71
2025-10-09,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,21,115.71,14.4599,101.574,12.3
2025-10-09,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,77,2189.11,12.921,101.574,13.93
2025-10-09,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,23,422.74,28.5206,101.574,10.65
2025-10-09,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,118,14780.68,2.6676,101.574,8.64
2025-10-09,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,43,4187.34,107.9578,101.574,11.83
2025-10-09,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,97,3348.44,1.8531,35.752,1.71
2025-10-09,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,139,10541.76,5.4825,35.752,7.16
2025-10-09,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,49,2180.01,30.316,35.752,15.02
2025-10-09,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,164,5828.56,2.3009,35.752,6.4
2025-10-09,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,172,22131.24,198.2994,35.752,19.81
2025-10-09,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,36,5081.04,21.6225,118.058,18.13
2025-10-09,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,37,4168.05,1.197,118.058,1.28
2025-10-09,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,180,22226.4,15.8513,118.058,7.52
2025-10-09,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,86,12048.6,2.8749,118.058,8.04
2025-10-09,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,44,1907.4,44.1815,118.058,4.38
2025-10-10,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,19,2460.5,19.443,106.554,13.95
2025-10-10,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,127,7073.9,14.6184,106.554,17.94
2025-10-10,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,78,2190.24,10.2461,106.554,4.2
2025-10-10,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,189,3906.63,1.5807,106.554,6.08
2025-10-10,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,66,2240.04,19.2151,106.554,2.26
2025-10-10,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,95,11252.75,1.2656,86.226,1.25
2025-10-10,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,198,24266.88,0.9702,86.226,1.27
2025-10-10,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,55,7304.55,45.0737,86.226,16.57
2025-10-10,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,16,496.16,3.5456,86.226,11.65
2025-10-10,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,115,13951.8,134.5367,86.226,17.62
2025-10-10,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,114,16667.94,4.7195,56.98,4.46
2025-10-10,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,70,9125.9,13.8351,56.98,17.81
2025-10-10,2025,10,4,Portland DC,Portland,West,Organic Cotton T-Shirt,Apparel,180,3583.8,8.2149,56.98,3.69
2025-10-10,2025,10,4,Portland DC,Portland,West,Recycled Plastic Bottle,Beverage,153,20379.6,6.5671,56.98,18.55
2025-10-10,2025,10,4,Portland DC,Portland,West,Solar Phone Charger,Electronics,49,6822.76,80.7049,56.98,9.07
2025-10-10,2025,10,4,Seattle Hub,Seattle,West,Bamboo Cutting Board,Kitchen,20,994.0,12.9893,141.446,12.13
2025-10-10,2025,10,4,Seattle Hub,Seattle,West,Compostable Packaging,Packaging,63,6545.7,9.2042,141.446,13.17
2025-10-10,2025,10,4,Seattle Hub,Seattle,West,Organic Cotton T-Shirt,Apparel,104,9303.84,7.5703,141.446,3.46
2025-10-10,2025,10,4,Seattle Hub,Seattle,West,Recycled Plastic Bottle,Beverage,47,3164.04,6.1959,141.446,19.73
2025-10-10,2025,10,4,Seattle Hub,Seattle,West,Solar Phone Charger,Electronics,20,2706.8,113.9901,141.446,15.71
2025-10-11,2025,10,4,Atlanta South,Atlanta,South,Bamboo Cutting Board,Kitchen,147,15374.73,7.7273,63.532,6.05
2025-10-11,2025,10,4,Atlanta South,Atlanta,South,Compostable Packaging,Packaging,60,3468.6,1.0631,63.532,1.2
2025-10-11,2025,10,4,Atlanta South,Atlanta,South,Organic Cotton T-Shirt,Apparel,21,2263.17,2.9132,63.532,1.13
2025-10-11,2025,10,4,Atlanta South,Atlanta,South,Recycled Plastic Bottle,Beverage,10,803.9,0.5593,63.532,2.21
2025-10-11,2025,10,4,Atlanta South,Atlanta,South,Solar Phone Charger,Electronics,199,22262.13,115.5787,63.532,11.46
2025-10-11,2025,10,4,Chicago Center,Chicago,Midwest,Bamboo Cutting Board,Kitchen,121,11240.9,0.0,72.142,0.0
2025-10-11,2025,10,4,Chicago Center,Chicago,Midwest,Compostable Packaging,Packaging,157,5111.92,2.6962,72.142,4.1
2025-10-11,2025,10,4,Chicago Center,Chicago,Midwest,Organic Cotton T-Shirt,Apparel,162,11017.62,25.4862,72.142,10.2
2025-10-11,2025,10,4,Chicago Center,Chicago,Midwest,Recycled Plastic Bottle,Beverage,196,23329.88,2.6922,72.142,10.12
2025-10-11,2025,10,4,Chicago Center,Chicago,Midwest,Solar Phone Charger,Electronics,140,3047.8,52.9092,72.142,5.92
2025-10-11,2025,10,4,Portland DC,Portland,West,Bamboo Cutting Board,Kitchen,17,369.24,15.2618,26.9,15.5
2025-10-11,2025,10,4,Portland DC,Portland,West,Compostable Packaging,Packaging,77,812.35,12.3289,26.9,19.23
