trans_date,wh_name,prod_name,category,waste_kg,co2_kg
20251005,Seattle Hub,Recycled Plastic Bottle,Beverage,0.75,0.2677
20251005,Seattle Hub,Bamboo Cutting Board,Kitchen,19.51,21.0442
20251005,Seattle Hub,Solar Phone Charger,Electronics,14.84,105.6529
20251005,Seattle Hub,Compostable Packaging,Packaging,8.09,7.666
20251005,Portland DC,Organic Cotton T-Shirt,Apparel,14.7,40.3475
20251005,Portland DC,Recycled Plastic Bottle,Beverage,9.88,2.7255
20251005,Portland DC,Bamboo Cutting Board,Kitchen,13.5,19.2668
20251005,Portland DC,Solar Phone Charger,Electronics,0.79,7.5057
20251005,Portland DC,Compostable Packaging,Packaging,5.24,4.9781
20251005,Chicago Center,Organic Cotton T-Shirt,Apparel,13.92,29.9975
20251005,Chicago Center,Recycled Plastic Bottle,Beverage,10.25,3.3037
20251005,Chicago Center,Bamboo Cutting Board,Kitchen,15.31,15.1389
20251005,Chicago Center,Solar Phone Charger,Electronics,10.96,78.5298
20251005,Chicago Center,Compostable Packaging,Packaging,11.39,9.6392
20251005,Atlanta South,Organic Cotton T-Shirt,Apparel,14.8,29.916
20251005,Atlanta South,Recycled Plastic Bottle,Beverage,5.39,1.3191
20251005,Atlanta South,Bamboo Cutting Board,Kitchen,11.08,13.2433
20251005,Atlanta South,Solar Phone Charger,Electronics,6.81,57.1532
20251005,Atlanta South,Compostable Packaging,Packaging,17.28,11.9458
20251006,Seattle Hub,Organic Cotton T-Shirt,Apparel,16.48,41.8857
20251006,Seattle Hub,Recycled Plastic Bottle,Beverage,10.37,3.4018
20251006,Seattle Hub,Bamboo Cutting Board,Kitchen,7.6,9.5585
20251006,Seattle Hub,Solar Phone Charger,Electronics,19.36,185.5611
20251006,Seattle Hub,Compostable Packaging,Packaging,15.43,10.6362
20251006,Portland DC,Organic Cotton T-Shirt,Apparel,6.78,14.2126
20251006,Portland DC,Recycled Plastic Bottle,Beverage,18.79,4.9124
20251006,Portland DC,Bamboo Cutting Board,Kitchen,4.24,4.1352
20251006,Portland DC,Solar Phone Charger,Electronics,10.05,89.6611
20251006,Portland DC,Compostable Packaging,Packaging,-4.8,4.1746
20251006,Chicago Center,Organic Cotton T-Shirt,Apparel,13.29,38.9185
20251006,Chicago Center,Recycled Plastic Bottle,Beverage,12.96,3.6717
20251006,Chicago Center,Bamboo Cutting Board,Kitchen,16.53,22.1707
20251006,Chicago Center,Solar Phone Charger,Electronics,10.82,100.5894
20251006,Chicago Center,Compostable Packaging,Packaging,4.71,3.7974
20251006,Atlanta South,Organic Cotton T-Shirt,Apparel,8.01,17.5669
20251006,Atlanta South,Recycled Plastic Bottle,Beverage,18.98,5.8271
20251006,Atlanta South,Bamboo Cutting Board,Kitchen,15.44,19.0954
20251006,Atlanta South,Solar Phone Charger,Electronics,8.83,63.1694
20251006,Atlanta South,Compostable Packaging,Packaging,10.34,8.7932
20251007,Seattle Hub,Organic Cotton T-Shirt,Apparel,18.7,54.2765
20251007,Seattle Hub,Recycled Plastic Bottle,Beverage,16.97,4.9125
20251007,Seattle Hub,Bamboo Cutting Board,Kitchen,6.81,7.3245
20251007,Seattle Hub,Solar Phone Charger,Electronics,11.23,104.7935
20251007,Seattle Hub,Compostable Packaging,Packaging,19.22,12.302
20251007,Portland DC,Organic Cotton T-Shirt,Apparel,0.82,
20251007,Portland DC,Recycled Plastic Bottle,Beverage,19.7,5.2358
20251007,Portland DC,Bamboo Cutting Board,Kitchen,18.9,25.6042
20251007,Portland DC,Solar Phone Charger,Electronics,11.63,101.6867
20251007,Portland DC,Compostable Packaging,Packaging,3.54,2.5658
20251007,Chicago Center,Organic Cotton T-Shirt,Apparel,5.5,12.6517
20251007,Chicago Center,Recycled Plastic Bottle,Beverage,4.74,1.1815
20251007,Chicago Center,Bamboo Cutting Board,Kitchen,10.02,13.9431
20251007,Chicago Center,Solar Phone Charger,Electronics,2.36,21.2015
20251007,Chicago Center,Compostable Packaging,Packaging,7.94,7.0637
20251007,Atlanta South,Organic Cotton T-Shirt,Apparel,17.66,42.9898
20251007,Atlanta South,Recycled Plastic Bottle,Beverage,15.52,5.1173
20251007,Atlanta South,Bamboo Cutting Board,Kitchen,12.86,16.248
20251007,Atlanta South,Solar Phone Charger,Electronics,6.73,58.6903
20251007,Atlanta South,Compostable Packaging,Packaging,3.49,2.9859
20251008,Seattle Hub,Organic Cotton T-Shirt,Apparel,15.18,39.0924
20251008,Seattle Hub,Recycled Plastic Bottle,Beverage,15.83,4.0804
20251008,Seattle Hub,Bamboo Cutting Board,Kitchen,15.03,18.3834
20251008,Seattle Hub,Solar Phone Charger,Electronics,8.97,82.2797
20251008,Seattle Hub,Compostable Packaging,Packaging,4.36,3.3419
20251008,Portland DC,Organic Cotton T-Shirt,Apparel,19.94,50.3335
20251008,Portland DC,Recycled Plastic Bottle,Beverage,8.89,2.8641
20251008,Portland DC,Bamboo Cutting Board,Kitchen,8.56,9.7184
20251008,Portland DC,Solar Phone Charger,Electronics,13.28,125.0566
20251008,Portland DC,Compostable Packaging,Packaging,16.52,14.8167
20251008,Chicago Center,Organic Cotton T-Shirt,Apparel,18.52,41.3642
20251008,Chicago Center,Recycled Plastic Bottle,Beverage,14.71,3.6819
20251008,Chicago Center,Bamboo Cutting Board,Kitchen,12.61,12.9995
20251008,Chicago Center,Solar Phone Charger,Electronics,7.19,68.5534
20251008,Chicago Center,Compostable Packaging,Packaging,6.97,6.1113
20251008,Atlanta South,Organic Cotton T-Shirt,Apparel,15.13,38.5633
20251008,Atlanta South,Recycled Plastic Bottle,Beverage,14.05,4.4987
20251008,Atlanta South,Bamboo Cutting Board,Kitchen,10.77,11.6598
20251008,Atlanta South,Solar Phone Charger,Electronics,14.08,108.7308
20251008,Atlanta South,Compostable Packaging,Packaging,1.8,1.5324
20251009,Seattle Hub,Organic Cotton T-Shirt,Apparel,7.52,15.8513
20251009,Seattle Hub,Recycled Plastic Bottle,Beverage,8.04,2.8749
20251009,Seattle Hub,Bamboo Cutting Board,Kitchen,18.13,21.6225
20251009,Seattle Hub,Solar Phone Charger,Electronics,4.38,44.1815
20251009,Seattle Hub,Compostable Packaging,Packaging,1.28,1.197
20251009,Portland DC,Organic Cotton T-Shirt,Apparel,15.02,30.316
20251009,Portland DC,Recycled Plastic Bottle,Beverage,6.4,2.3009
20251009,Portland DC,Bamboo Cutting Board,Kitchen,1.71,1.8531
20251009,Portland DC,Solar Phone Charger,Electronics,19.81,198.2994
20251009,Portland DC,Compostable Packaging,Packaging,7.16,5.4825
20251009,Chicago Center,Organic Cotton T-Shirt,Apparel,10.65,28.5206
20251009,Chicago Center,Recycled Plastic Bottle,Beverage,8.64,2.6676
20251009,Chicago Center,Bamboo Cutting Board,Kitchen,12.3,14.4599
20251009,Chicago Center,Solar Phone Charger,Electronics,11.83,107.9578
20251009,Chicago Center,Compostable Packaging,Packaging,13.93,12.921
20251009,Atlanta South,Organic Cotton T-Shirt,Apparel,18.23,50.498
20251009,Atlanta South,Recycled Plastic Bottle,Beverage,3.58,0.8883
20251009,Atlanta South,Bamboo Cutting Board,Kitchen,4.09,5.5746
20251009,Atlanta South,Solar Phone Charger,Electronics,6.71,67.8237
20251009,Atlanta South,Compostable Packaging,Packaging,15.04,13.5803
20251010,Seattle Hub,Organic Cotton T-Shirt,Apparel,3.46,7.5703
20251010,Seattle Hub,Recycled Plastic Bottle,Beverage,19.73,6.1959
20251010,Seattle Hub,Bamboo Cutting Board,Kitchen,12.13,12.9893
20251010,Seattle Hub,Solar Phone Charger,Electronics,15.71,113.9901
20251010,Seattle Hub,Compostable Packaging,Packaging,13.17,9.2042
20251010,Portland DC,Organic Cotton T-Shirt,Apparel,3.69,8.2149
20251010,Portland DC,Recycled Plastic Bottle,Beverage,18.55,6.5671
20251010,Portland DC,Bamboo Cutting Board,Kitchen,4.46,4.7195
20251010,Portland DC,Solar Phone Charger,Electronics,9.07,80.7049
20251010,Portland DC,Compostable Packaging,Packaging,17.81,13.8351
20251010,Chicago Center,Organic Cotton T-Shirt,Apparel,16.57,45.0737
20251010,Chicago Center,Recycled Plastic Bottle,Beverage,11.65,3.5456
20251010,Chicago Center,Bamboo Cutting Board,Kitchen,1.25,1.2656
20251010,Chicago Center,Solar Phone Charger,Electronics,17.62,134.5367
20251010,Chicago Center,Compostable Packaging,Packaging,1.27,0.9702
20251010,Atlanta South,Organic Cotton T-Shirt,Apparel,4.2,10.2461
20251010,Atlanta South,Recycled Plastic Bottle,Beverage,6.08,1.5807
20251010,Atlanta South,Bamboo Cutting Board,Kitchen,13.95,19.443
20251010,Atlanta South,Solar Phone Charger,Electronics,2.26,19.2151
20251010,Atlanta South,Compostable Packaging,Packaging,17.94,14.6184
20251011,Seattle Hub,Organic Cotton T-Shirt,Apparel,0.99,2.4291
20251011,Seattle Hub,Recycled Plastic Bottle,Beverage,17.71,4.442
20251011,Seattle Hub,Bamboo Cutting Board,Kitchen,14.37,14.9264
20251011,Seattle Hub,Solar Phone Charger,Electronics,14.27,127.7999
20251011,Seattle Hub,Compostable Packaging,Packaging,14.67,13.9667
20251011,Portland DC,Organic Cotton T-Shirt,Apparel,11.23,22.9531
20251011,Portland DC,Recycled Plastic Bottle,Beverage,17.49,6.0082
20251011,Portland DC,Bamboo Cutting Board,Kitchen,15.5,15.2618
20251011,Portland DC,Solar Phone Charger,Electronics,19.24,149.7229
20251011,Portland DC,Compostable Packaging,Packaging,19.23,12.3289
20251011,Chicago Center,Organic Cotton T-Shirt,Apparel,10.2,25.4862
20251011,Chicago Center,Recycled Plastic Bottle,Beverage,10.12,2.6922
20251011,Chicago Center,Bamboo Cutting Board,Kitchen,-9.12,11.3871
20251011,Chicago Center,Solar Phone Charger,Electronics,5.92,52.9092
20251011,Chicago Center,Compostable Packaging,Packaging,4.1,2.6962
20251011,Atlanta South,Organic Cotton T-Shirt,Apparel,1.13,2.9132
20251011,Atlanta South,Recycled Plastic Bottle,Beverage,2.21,0.5593
20251011,Atlanta South,Bamboo Cutting Board,Kitchen,6.05,7.7273
20251011,Atlanta South,Solar Phone Charger,Electronics,11.46,115.5787
20251011,Atlanta South,Compostable Packaging,Packaging,1.2,1.0631
20251012,Seattle Hub,Organic Cotton T-Shirt,Apparel,16.5,45.5143
20251012,Seattle Hub,Recycled Plastic Bottle,Beverage,9.68,2.4649
20251012,Seattle Hub,Bamboo Cutting Board,Kitchen,8.57,9.0904
20251012,Seattle Hub,Solar Phone Charger,Electronics,11.64,117.9108
20251012,Seattle Hub,Compostable Packaging,Packaging,14.62,12.1862
20251012,Portland DC,Organic Cotton T-Shirt,Apparel,8.83,25.1461
20251012,Portland DC,Recycled Plastic Bottle,Beverage,12.65,4.4433
20251012,Portland DC,Bamboo Cutting Board,Kitchen,14.72,17.648
20251012,Portland DC,Solar Phone Charger,Electronics,5.04,39.2498
20251012,Portland DC,Compostable Packaging,Packaging,9.57,8.5647
20251012,Chicago Center,Organic Cotton T-Shirt,Apparel,12.5,30.1829
20251012,Chicago Center,Recycled Plastic Bottle,Beverage,16.22,4.3061
20251012,Chicago Center,Bamboo Cutting Board,Kitchen,5.46,5.4194
20251012,Chicago Center,Solar Phone Charger,Electronics,15.46,111.1117
20251012,Chicago Center,Compostable Packaging,Packaging,11.59,10.9785
20251012,Atlanta South,Organic Cotton T-Shirt,Apparel,16.76,48.9774
20251012,Atlanta South,Recycled Plastic Bottle,Beverage,1.19,0.305
20251012,Atlanta South,Bamboo Cutting Board,Kitchen,17.37,24.1451
20251012,Atlanta South,Solar Phone Charger,Electronics,18.59,129.9529
20251012,Atlanta South,Compostable Packaging,Packaging,-13.72,11.2183
20251013,Seattle Hub,Organic Cotton T-Shirt,Apparel,6.97,20.3258
20251013,Seattle Hub,Recycled Plastic Bottle,Beverage,3.41,1.1624
20251013,Seattle Hub,Bamboo Cutting Board,Kitchen,10.92,11.3531
20251013,Seattle Hub,Solar Phone Charger,Electronics,2.78,26.2987
20251013,Seattle Hub,Compostable Packaging,Packaging,14.34,10.4234
20251013,Portland DC,Organic Cotton T-Shirt,Apparel,7.75,21.9283
20251013,Portland DC,Recycled Plastic Bottle,Beverage,3.91,1.114
20251013,Portland DC,Bamboo Cutting Board,Kitchen,2.31,2.7786
20251013,Portland DC,Solar Phone Charger,Electronics,3.5,27.8474
20251013,Portland DC,Compostable Packaging,Packaging,6.55,4.8781
20251013,Chicago Center,Organic Cotton T-Shirt,Apparel,19.65,49.4423
20251013,Chicago Center,Recycled Plastic Bottle,Beverage,1.21,0.3467
20251013,Chicago Center,Bamboo Cutting Board,Kitchen,6.56,6.4362
20251013,Chicago Center,Solar Phone Charger,Electronics,7.0,68.7626
20251013,Chicago Center,Compostable Packaging,Packaging,15.04,9.7338
20251013,Atlanta South,Organic Cotton T-Shirt,Apparel,4.59,10.1005
20251013,Atlanta South,Recycled Plastic Bottle,Beverage,15.57,4.9907
20251013,Atlanta South,Bamboo Cutting Board,Kitchen,2.73,3.8766
20251013,Atlanta South,Solar Phone Charger,Electronics,11.08,96.0397
20251013,Atlanta South,Compostable Packaging,Packaging,16.18,13.3276
20251014,Seattle Hub,Organic Cotton T-Shirt,Apparel,17.9,45.4763
20251014,Seattle Hub,Recycled Plastic Bottle,Beverage,18.11,4.4561
20251014,Seattle Hub,Bamboo Cutting Board,Kitchen,8.14,10.5677
20251014,Seattle Hub,Solar Phone Charger,Electronics,13.96,116.0892
20251014,Seattle Hub,Compostable Packaging,Packaging,4.36,3.8485
20251014,Portland DC,Organic Cotton T-Shirt,Apparel,18.49,51.1143
20251014,Portland DC,Recycled Plastic Bottle,Beverage,16.15,5.2299
20251014,Portland DC,Bamboo Cutting Board,Kitchen,13.07,17.3559
20251014,Portland DC,Solar Phone Charger,Electronics,3.3,32.4898
20251014,Portland DC,Compostable Packaging,Packaging,4.08,3.8088
20251014,Chicago Center,Organic Cotton T-Shirt,Apparel,6.83,16.9897
20251014,Chicago Center,Recycled Plastic Bottle,Beverage,9.83,3.3569
20251014,Chicago Center,Bamboo Cutting Board,Kitchen,11.71,14.0967
20251014,Chicago Center,Solar Phone Charger,Electronics,2.59,22.5095
20251014,Chicago Center,Compostable Packaging,Packaging,9.49,7.8669
20251014,Atlanta South,Organic Cotton T-Shirt,Apparel,3.6,8.9365
20251014,Atlanta South,Recycled Plastic Bottle,Beverage,14.03,4.0931
20251014,Atlanta South,Bamboo Cutting Board,Kitchen,7.17,9.2721
20251014,Atlanta South,Solar Phone Charger,Electronics,14.92,137.5697
20251014,Atlanta South,Compostable Packaging,Packaging,12.12,9.0187
20251015,Seattle Hub,Organic Cotton T-Shirt,Apparel,6.51,15.6617
20251015,Seattle Hub,Recycled Plastic Bottle,Beverage,12.13,4.1046
20251015,Seattle Hub,Bamboo Cutting Board,Kitchen,1.7,1.8096
20251015,Seattle Hub,Solar Phone Charger,Electronics,15.22,145.4036
20251015,Seattle Hub,Compostable Packaging,Packaging,9.33,6.8415
20251015,Portland DC,Organic Cotton T-Shirt,Apparel,4.51,12.9772
20251015,Portland DC,Recycled Plastic Bottle,Beverage,13.75,4.8155
20251015,Portland DC,Bamboo Cutting Board,Kitchen,18.34,26.3241
20251015,Portland DC,Solar Phone Charger,Electronics,10.45,101.1765
20251015,Portland DC,Compostable Packaging,Packaging,-18.07,17.1616
20251015,Chicago Center,Organic Cotton T-Shirt,Apparel,19.58,41.3079
20251015,Chicago Center,Recycled Plastic Bottle,Beverage,8.92,2.7725
20251015,Chicago Center,Bamboo Cutting Board,Kitchen,8.42,9.8421
20251015,Chicago Center,Solar Phone Charger,Electronics,3.21,27.8899
20251015,Chicago Center,Compostable Packaging,Packaging,8.64,6.3272
20251015,Atlanta South,Organic Cotton T-Shirt,Apparel,0.73,1.9333
20251015,Atlanta South,Recycled Plastic Bottle,Beverage,13.33,4.7588
20251015,Atlanta South,Bamboo Cutting Board,Kitchen,16.22,22.268
20251015,Atlanta South,Solar Phone Charger,Electronics,18.64,166.251
20251015,Atlanta South,Compostable Packaging,Packaging,16.49,12.5837
20251016,Seattle Hub,Organic Cotton T-Shirt,Apparel,0.64,1.5988
20251016,Seattle Hub,Recycled Plastic Bottle,Beverage,5.75,2.0193
20251016,Seattle Hub,Bamboo Cutting Board,Kitchen,1.24,1.478
20251016,Seattle Hub,Solar Phone Charger,Electronics,19.25,136.1401
20251016,Seattle Hub,Compostable Packaging,Packaging,17.26,15.192
20251016,Portland DC,Organic Cotton T-Shirt,Apparel,10.71,27.9539
20251016,Portland DC,Recycled Plastic Bottle,Beverage,13.44,4.3041
20251016,Portland DC,Bamboo Cutting Board,Kitchen,11.8,14.8003
20251016,Portland DC,Solar Phone Charger,Electronics,0.71,5.924
20251016,Portland DC,Compostable Packaging,Packaging,6.96,5.2404
20251016,Chicago Center,Organic Cotton T-Shirt,Apparel,3.77,10.1603
20251016,Chicago Center,Recycled Plastic Bottle,Beverage,15.81,4.2885
20251016,Chicago Center,Bamboo Cutting Board,Kitchen,11.67,14.8796
20251016,Chicago Center,Solar Phone Charger,Electronics,1.03,8.7016
20251016,Chicago Center,Compostable Packaging,Packaging,15.78,11.372
20251016,Atlanta South,Organic Cotton T-Shirt,Apparel,5.51,15.1053
20251016,Atlanta South,Recycled Plastic Bottle,Beverage,14.91,4.7578
20251016,Atlanta South,Bamboo Cutting Board,Kitchen,15.76,16.9164
20251016,Atlanta South,Solar Phone Charger,Electronics,1.15,11.6677
20251016,Atlanta South,Compostable Packaging,Packaging,16.52,15.0008
20251017,Seattle Hub,Organic Cotton T-Shirt,Apparel,7.97,21.2055
20251017,Seattle Hub,Recycled Plastic Bottle,Beverage,11.77,4.0138
20251017,Seattle Hub,Bamboo Cutting Board,Kitchen,16.48,16.2363
20251017,Seattle Hub,Solar Phone Charger,Electronics,9.79,98.1355
20251017,Seattle Hub,Compostable Packaging,Packaging,13.83,10.5775
20251017,Portland DC,Organic Cotton T-Shirt,Apparel,8.98,20.5534
20251017,Portland DC,Recycled Plastic Bottle,Beverage,6.66,2.0222
20251017,Portland DC,Bamboo Cutting Board,Kitchen,10.86,12.27
20251017,Portland DC,Solar Phone Charger,Electronics,13.22,102.1484
20251017,Portland DC,Compostable Packaging,Packaging,5.48,4.5316
20251017,Chicago Center,Organic Cotton T-Shirt,Apparel,5.22,13.9473
20251017,Chicago Center,Recycled Plastic Bottle,Beverage,13.72,4.928
20251017,Chicago Center,Bamboo Cutting Board,Kitchen,0.67,0.6651
20251017,Chicago Center,Solar Phone Charger,Electronics,13.87,110.8928
20251017,Chicago Center,Compostable Packaging,Packaging,1.16,0.9723
20251017,Atlanta South,Organic Cotton T-Shirt,Apparel,17.93,39.7477
20251017,Atlanta South,Recycled Plastic Bottle,Beverage,19.18,4.802
20251017,Atlanta South,Bamboo Cutting Board,Kitchen,15.4,19.5733
20251017,Atlanta South,Solar Phone Charger,Electronics,2.66,19.7545
20251017,Atlanta South,Compostable Packaging,Packaging,1.98,1.5545
20251018,Seattle Hub,Organic Cotton T-Shirt,Apparel,14.0,37.3461
20251018,Seattle Hub,Recycled Plastic Bottle,Beverage,15.72,4.2959
20251018,Seattle Hub,Bamboo Cutting Board,Kitchen,19.92,21.5924
20251018,Seattle Hub,Solar Phone Charger,Electronics,1.85,18.7406
20251018,Seattle Hub,Compostable Packaging,Packaging,13.09,8.8318
20251018,Portland DC,Organic Cotton T-Shirt,Apparel,12.47,26.2649
20251018,Portland DC,Recycled Plastic Bottle,Beverage,1.18,0.2932
20251018,Portland DC,Bamboo Cutting Board,Kitchen,0.87,
20251018,Portland DC,Solar Phone Charger,Electronics,1.24,10.0783
20251018,Portland DC,Compostable Packaging,Packaging,8.13,5.2128
20251018,Chicago Center,Organic Cotton T-Shirt,Apparel,9.82,23.6064
20251018,Chicago Center,Recycled Plastic Bottle,Beverage,1.87,0.4995
20251018,Chicago Center,Bamboo Cutting Board,Kitchen,15.71,15.9956
20251018,Chicago Center,Solar Phone Charger,Electronics,7.0,54.8073
20251018,Chicago Center,Compostable Packaging,Packaging,13.12,9.9307
20251018,Atlanta South,Organic Cotton T-Shirt,Apparel,16.9,46.6517
20251018,Atlanta South,Recycled Plastic Bottle,Beverage,11.31,4.0275
20251018,Atlanta South,Bamboo Cutting Board,Kitchen,8.11,8.2012
20251018,Atlanta South,Solar Phone Charger,Electronics,17.76,147.2152
20251018,Atlanta South,Compostable Packaging,Packaging,0.99,0.9493
20251019,Seattle Hub,Organic Cotton T-Shirt,Apparel,15.96,42.1888
20251019,Seattle Hub,Recycled Plastic Bottle,Beverage,-16.33,5.8133
20251019,Seattle Hub,Bamboo Cutting Board,Kitchen,7.09,9.2601
20251019,Seattle Hub,Solar Phone Charger,Electronics,13.25,113.6665
20251019,Seattle Hub,Compostable Packaging,Packaging,10.96,9.6134
20251019,Portland DC,Organic Cotton T-Shirt,Apparel,-14.84,36.9352
20251019,Portland DC,Recycled Plastic Bottle,Beverage,12.56,3.3802
20251019,Portland DC,Bamboo Cutting Board,Kitchen,12.84,17.902
20251019,Portland DC,Solar Phone Charger,Electronics,12.42,119.7313
20251019,Portland DC,Compostable Packaging,Packaging,2.73,2.267
20251019,Chicago Center,Organic Cotton T-Shirt,Apparel,4.45,10.4012
20251019,Chicago Center,Recycled Plastic Bottle,Beverage,8.34,2.1225
20251019,Chicago Center,Bamboo Cutting Board,Kitchen,6.77,9.6341
20251019,Chicago Center,Solar Phone Charger,Electronics,3.88,27.218
20251019,Chicago Center,Compostable Packaging,Packaging,3.78,2.8667
20251019,Atlanta South,Organic Cotton T-Shirt,Apparel,11.85,25.2804
20251019,Atlanta South,Recycled Plastic Bottle,Beverage,7.83,2.0274
20251019,Atlanta South,Bamboo Cutting Board,Kitchen,0.64,0.8989
20251019,Atlanta South,Solar Phone Charger,Electronics,6.03,55.2222
